experiment_name,fn,fnr,fp,fpr,has_ocr,image_label,input_mode,mm_label,model,negative_support,positive_support,seed,source,split,support,text_label
ocr/dt4mid-caption-ocr,0,0.0,0,,False,0,caption_ocr,1,dt4mid-phobert,0,17,42,facebook,test,17,1
ocr/dt4mid-caption-ocr,3,0.2727272727272727,0,,True,1,caption_ocr,1,dt4mid-phobert,0,11,42,threads,test,11,0
ocr/dt4mid-caption-ocr,3,0.16666666666666666,0,,True,0,caption_ocr,1,dt4mid-phobert,0,18,42,facebook,test,18,1
ocr/dt4mid-caption-ocr,0,,10,0.6666666666666666,True,0,caption_ocr,0,dt4mid-phobert,15,0,42,threads,test,15,1
ocr/dt4mid-caption-ocr,0,,6,0.8571428571428571,True,1,caption_ocr,0,dt4mid-phobert,7,0,42,facebook,test,7,0
ocr/dt4mid-caption-ocr,4,0.5714285714285714,0,,True,1,caption_ocr,1,dt4mid-phobert,0,7,42,threads,test,7,1
ocr/dt4mid-caption-ocr,0,,5,0.8333333333333334,True,0,caption_ocr,0,dt4mid-phobert,6,0,42,facebook,test,6,1
ocr/dt4mid-caption-ocr,0,0.0,0,,False,1,caption_ocr,1,dt4mid-phobert,0,3,42,facebook,test,3,1
ocr/dt4mid-caption-ocr,0,,2,0.5,False,0,caption_ocr,0,dt4mid-phobert,4,0,42,threads,test,4,1
ocr/dt4mid-caption-ocr,0,,0,0.0,False,0,caption_ocr,0,dt4mid-phobert,1,0,42,facebook,test,1,1
phobert-caption,0,,44,0.6470588235294118,True,0,caption,0,phobert-base,68,0,123,facebook,test,68,0
phobert-caption,11,0.6111111111111112,0,,False,0,caption,1,phobert-base,0,18,123,threads,test,18,1
phobert-caption,7,0.1346153846153846,0,,True,1,caption,1,phobert-base,0,52,123,facebook,test,52,0
phobert-caption,0,,37,0.21511627906976744,True,0,caption,0,phobert-base,172,0,123,threads,test,172,0
phobert-caption,0,,18,0.14754098360655737,False,0,caption,0,phobert-base,122,0,123,threads,test,122,0
phobert-caption,0,,15,0.9375,False,0,caption,0,phobert-base,16,0,123,facebook,test,16,0
phobert-caption,3,1.0,0,,True,1,caption,1,phobert-base,0,3,123,facebook,test,3,1
phobert-caption,10,0.19607843137254902,0,,True,0,caption,1,phobert-base,0,51,123,facebook,test,51,0
phobert-caption,2,0.04081632653061224,0,,False,0,caption,1,phobert-base,0,49,123,facebook,test,49,0
